"Geneid","GeneName","NewName","9_SC1","10_Ssh1","11_SC2","12_Ssh2"
"ENSG00000106003","LFNG","ENSG00000106003_LFNG",849,1292,297,381
"ENSG00000106004","HOXA5","ENSG00000106004_HOXA5",65,76,37,85
"ENSG00000106006","HOXA6","ENSG00000106006_HOXA6",46,36,16,20
"ENSG00000106009","BRAT1","ENSG00000106009_BRAT1",2751,2730,1793,2150
"ENSG00000106012","IQCE","ENSG00000106012_IQCE",1380,1396,846,889
"ENSG00000106025","TSPAN12","ENSG00000106025_TSPAN12",130,113,44,158
"ENSG00000106028","SSBP1","ENSG00000106028_SSBP1",5137,2352,2977,2991
"ENSG00000106049","HIBADH","ENSG00000106049_HIBADH",2204,1799,1250,1734
"ENSG00000106052","TAX1BP1","ENSG00000106052_TAX1BP1",4187,3619,2921,4960
"ENSG00000106066","CPVL","ENSG00000106066_CPVL",535,323,252,584
"ENSG00000106070","GRB10","ENSG00000106070_GRB10",27,39,93,178
"ENSG00000106077","ABHD11","ENSG00000106077_ABHD11",1088,486,626,433
"ENSG00000106078","COBL","ENSG00000106078_COBL",32,44,29,93
"ENSG00000106080","FKBP14","ENSG00000106080_FKBP14",1742,1022,1153,1511
"ENSG00000106086","PLEKHA8","ENSG00000106086_PLEKHA8",1002,653,600,1199
"ENSG00000106089","STX1A","ENSG00000106089_STX1A",231,191,219,329
"ENSG00000106100","NOD1","ENSG00000106100_NOD1",593,407,322,545
"ENSG00000106105","GARS","ENSG00000106105_GARS",6488,6405,7096,9751
"ENSG00000106123","EPHB6","ENSG00000106123_EPHB6",23,43,6,66
"ENSG00000106133","NSUN5P2","ENSG00000106133_NSUN5P2",620,620,437,523
"ENSG00000106144","CASP2","ENSG00000106144_CASP2",1995,1018,957,1230
"ENSG00000106153","CHCHD2","ENSG00000106153_CHCHD2",15389,9995,10495,11830
"ENSG00000106211","HSPB1","ENSG00000106211_HSPB1",11458,14927,6083,10412
"ENSG00000106236","NPTX2","ENSG00000106236_NPTX2",8,8,6,25
"ENSG00000106244","PDAP1","ENSG00000106244_PDAP1",5849,3637,3777,4293
"ENSG00000106245","BUD31","ENSG00000106245_BUD31",2182,1597,1747,2326
"ENSG00000106246","PTCD1","ENSG00000106246_PTCD1",183,118,109,133
"ENSG00000106261","ZKSCAN1","ENSG00000106261_ZKSCAN1",1675,1142,946,1511
"ENSG00000106263","EIF3B","ENSG00000106263_EIF3B",14876,8254,8961,8822
"ENSG00000106266","SNX8","ENSG00000106266_SNX8",1021,594,524,534
"ENSG00000106268","NUDT1","ENSG00000106268_NUDT1",920,474,699,619
"ENSG00000106278","PTPRZ1","ENSG00000106278_PTPRZ1",20,3,44,12
"ENSG00000106290","TAF6","ENSG00000106290_TAF6",2229,1819,1475,1968
"ENSG00000106299","WASL","ENSG00000106299_WASL",1550,1070,846,1255
"ENSG00000106305","AIMP2","ENSG00000106305_AIMP2",1782,629,843,590
"ENSG00000106327","TFR2","ENSG00000106327_TFR2",76,42,50,60
"ENSG00000106330","MOSPD3","ENSG00000106330_MOSPD3",299,389,234,348
"ENSG00000106333","PCOLCE","ENSG00000106333_PCOLCE",156,154,61,136
"ENSG00000106344","RBM28","ENSG00000106344_RBM28",3629,1702,2078,2342
"ENSG00000106346","USP42","ENSG00000106346_USP42",1058,655,561,848
"ENSG00000106348","IMPDH1","ENSG00000106348_IMPDH1",6492,5413,3816,6051
"ENSG00000106351","AGFG2","ENSG00000106351_AGFG2",706,457,285,353
"ENSG00000106355","LSM5","ENSG00000106355_LSM5",2756,1228,1509,1720
"ENSG00000106366","SERPINE1","ENSG00000106366_SERPINE1",4659,11410,5467,11113
"ENSG00000106367","AP1S1","ENSG00000106367_AP1S1",2729,2380,1648,2952
"ENSG00000106392","C1GALT1","ENSG00000106392_C1GALT1",805,375,428,443
"ENSG00000106397","PLOD3","ENSG00000106397_PLOD3",2688,2151,1634,2421
"ENSG00000106399","RPA3","ENSG00000106399_RPA3",1213,481,551,542
"ENSG00000106400","ZNHIT1","ENSG00000106400_ZNHIT1",2582,2165,1674,2311
"ENSG00000106404","CLDN15","ENSG00000106404_CLDN15",192,183,147,228
"ENSG00000106415","GLCCI1","ENSG00000106415_GLCCI1",158,221,101,264
"ENSG00000106443","PHF14","ENSG00000106443_PHF14",1287,608,781,830
