"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903046","meiotic cell cycle process","35/802","259/21338",0.135135135135135,3.59540338343331,8.30473313757856,5.56740668080369e-11,4.95996284473743e-09,4.50939011044795e-09,"FANCA/CDC20/PLK1/ESPL1/NDC80/ASPM/NUF2/KIF18A/ZWINT/SMC4/KNL1/PKMYT1/TRIP13/NCAPH/NCAPH2/RAD51AP1/AURKA/TOP2A/CCNB2/TTK/NCAPD2/CCNE2/SMC2/CKS2/RAD54L/SKA1/EME1/PSMC3IP/WNT4/SKA3/REC8/CDC25C/BRCA2/BRIP1/SGO1",35
"GO:0007080","mitotic metaphase chromosome alignment","18/802","70/21338",0.257142857142857,6.84153900961881,9.67406297880364,6.85408727131672e-11,5.9991300695788e-09,5.45415735034234e-09,"SPDL1/CENPE/NDC80/KIFC1/CCNB1/AURKB/NUF2/KIF14/KIF18A/CDK1/KIF2C/CDCA8/PSRC1/TTK/CDT1/SKA1/BIRC5/SKA3",18
"GO:0051321","meiotic cell cycle","40/802","337/21338",0.118694362017804,3.15798041987021,7.89111545766769,1.37237153368798e-10,1.16379521991089e-08,1.0580737839238e-08,"FANCA/CDC20/PLK1/ESPL1/NDC80/ASPM/NUF2/KIF18A/ZWINT/SMC4/ANAPC11/KNL1/PKMYT1/XRCC2/TRIP13/SGO2/NCAPH/NCAPH2/RAD51AP1/AURKA/TOP2A/CCNB2/TTK/NCAPD2/NEK2/CCNE2/SMC2/CKS2/RAD54L/SKA1/EME1/PSMC3IP/WNT4/SKA3/REC8/CDC25C/BRCA2/BRIP1/SGO1/DUSP13B",40
"GO:0033260","nuclear DNA replication","14/802","41/21338",0.341463414634146,9.08497050057782,10.2401681356157,1.37630623320791e-10,1.16379521991089e-08,1.0580737839238e-08,"CDC45/DBF4/LIG1/CDK1/POLA1/PCNA/BLM/CDT1/RTEL1/DNA2/MCM4/TIPIN/ATAD5/BRCA2",14
"GO:0140013","meiotic nuclear division","32/802","234/21338",0.136752136752137,3.63842530426072,8.01985060057389,2.73401146390499e-10,2.273330532237e-08,2.06681673648537e-08,"FANCA/CDC20/PLK1/ESPL1/NDC80/ASPM/NUF2/KIF18A/ZWINT/SMC4/KNL1/TRIP13/NCAPH/NCAPH2/RAD51AP1/AURKA/TOP2A/CCNB2/TTK/CCNE2/SMC2/CKS2/RAD54L/SKA1/EME1/PSMC3IP/WNT4/SKA3/REC8/BRCA2/BRIP1/SGO1",32
"GO:0090266","regulation of mitotic cell cycle spindle assembly checkpoint","11/802","24/21338",0.458333333333333,12.1944098088113,10.8435197975515,3.15254795203096e-10,2.53678415043266e-08,2.30633771227528e-08,"NDC80/CCNB1/AURKB/KNL1/GEN1/CDCA8/MAD2L1/XRCC3/SKA1/BIRC5/SKA3",11
"GO:1903504","regulation of mitotic spindle checkpoint","11/802","24/21338",0.458333333333333,12.1944098088113,10.8435197975515,3.15254795203096e-10,2.53678415043266e-08,2.30633771227528e-08,"NDC80/CCNB1/AURKB/KNL1/GEN1/CDCA8/MAD2L1/XRCC3/SKA1/BIRC5/SKA3",11
"GO:0051225","spindle assembly","26/802","166/21338",0.156626506024096,4.16720247573836,8.09552213349006,6.7700219750135e-10,5.36121264021307e-08,4.8741895890281e-08,"MYBL2/CDC20/PLK1/NDC80/ASPM/KIF23/KIFC1/AURKB/KIF4A/TUBB/KIF11/TPX2/RCC1/KIF15/CDCA8/AURKA/SPAG5/CCNB2/NEK2/RACGAP1/STIL/SKA1/BIRC5/SKA3/MAPRE3/SASS6",26
"GO:0045132","meiotic chromosome segregation","22/802","123/21338",0.178861788617886,4.75879407173124,8.26181575828597,1.0665369480142e-09,8.31398880256694e-08,7.55872978452827e-08,"PLK1/ESPL1/NDC80/ASPM/NUF2/ZWINT/SMC4/KNL1/TRIP13/NCAPH/NCAPH2/AURKA/CCNB2/TTK/CCNE2/SMC2/SKA1/PSMC3IP/SKA3/REC8/BRIP1/SGO1",22
"GO:0010639","negative regulation of organelle organization","43/802","410/21338",0.104878048780488,2.79038379660605,7.23386065412086,1.4097042296135e-09,1.08200221562181e-07,9.8371101625985e-08,"PIF1/CDC20/SPDL1/PLK1/ESPL1/NDC80/BUB1B/IFI6/CCNB1/NUPR1/TUBB4A/AURKB/NUF2/CENPF/ZWINT/PPIF/CCNF/TPX2/KNL1/KANK4/GEN1/TRIP13/CHEK1/CDCA8/MAD2L1/TTK/RTEL1/STMN1/CGNL1/XRCC3/SPC25/BUB1/BMERB1/DIAPH3/EVI5L/SKA1/BIRC5/SKA3/PRKN/SPTBN4/CKAP2/MAPT/TMOD2",43
